outlet_id,url,terakhir_terlihat,pertama_hilang,jenis,source_url,archive_url,retrieved_at,first_seen,last_checked,catatan,fiktif
gosulsel.com,https://gosulsel.com,2017-12-31,2025-01-06,situs,archive-recall/results-2026-09-09.json,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,pos aktif mulai 2025-01-06 (3 911 pos); Wayback 2016–2017 >10 000 halaman,False
kabarmakassar.com,https://kabarmakassar.com,2017-10-01,,situs,archive-recall/results-2026-09-09.json,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,pos aktif sebelum 2017 nyaris nol (1/1/0/108) meski Wayback ada,False
fajar.co.id,https://fajar.co.id,2017-03-21,,situs,archive-recall/results-2026-09-09.json,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,pos aktif mulai 2017-03-22; Wayback 2014–2016 ada,False
